index,date,week,team,opp,crew,points,oYards,pYards,pCount,won,tDiff,penDiff,ptsDiff,ydsDiff,home,tie
621,10/9/2022,5,SF,CAR,Shawn Smith,37,397,50,9,1,0,4,22,89,0,0
622,10/9/2022,5,LAC,CLE,Adrian Hill,30,465,17,4,1,-1,-2,2,22,0,0
623,10/9/2022,5,NYG,GB,Alex Kemp,27,338,63,6,1,0,-1,5,37,0,0
624,10/9/2022,5,HOU,JAX,Ron Torbert,13,248,25,4,1,-2,-2,7,-174,0,0
625,10/9/2022,5,DAL,LAR,Bill Vinovich,22,239,42,5,1,-3,2,12,-84,0,0
626,10/9/2022,5,TEN,WAS,Land Clark,21,241,69,8,1,-1,-1,4,-144,0,0
627,11/12/2023,10,CLE,BAL,Land Clark,33,373,55,10,1,0,3,2,67,0,0
628,11/12/2023,10,HOU,CIN,Carl Cheffers,30,544,50,7,1,1,3,3,164,0,0
629,11/12/2023,10,SF,JAX,Brad Allen,34,437,90,7,1,-4,2,31,216,0,0
630,11/12/2023,10,DET,LAC,Shawn Smith,41,533,44,4,1,-1,1,3,112,0,0
631,11/12/2023,10,IND,NE,Tra Blake,10,264,34,4,1,-1,-1,4,-76,0,0
632,11/13/2022,10,MIN,BUF,Craig Wrolstad,33,481,64,7,1,-2,0,3,-5,0,0
633,11/13/2022,10,DET,CHI,Land Clark,31,323,15,2,1,-1,-7,1,-85,0,0
634,11/13/2022,10,ARI,LAR,Clete Blakeman,27,298,67,10,1,-2,5,10,42,0,0
635,11/13/2022,10,IND,LV,Tra Blake,25,415,25,4,1,1,-6,5,106,0,0
636,11/13/2023,10,DEN,BUF,Bill Vinovich,24,300,61,10,1,-3,5,2,-69,0,0
637,11/14/2022,10,WAS,PHI,Alex Kemp,32,330,58,5,1,-2,-2,11,66,0,0
638,11/17/2022,11,TEN,GB,Bill Vinovich,27,408,20,2,1,1,-3,10,137,0,0
639,11/19/2023,11,DAL,CAR,Clay Martin,33,311,45,5,1,-2,-3,23,124,0,0
640,11/19/2023,11,NYG,WAS,Brad Allen,31,292,33,5,1,-6,4,12,-112,0,0
641,11/20/2022,11,LV,DEN,Shawn Smith,22,407,98,9,1,0,4,6,87,0,0
642,11/20/2022,11,WAS,HOU,Scott Novak,23,344,36,5,1,-2,3,13,196,0,0
643,11/20/2022,11,PHI,IND,Land Clark,17,314,55,7,1,1,-1,1,30,0,0
644,11/20/2022,11,KC,LAC,Shawn Hochuli,30,485,54,4,1,-1,0,3,120,0,0
645,11/20/2022,11,DAL,MIN,Clay Martin,40,458,39,6,1,-1,-1,37,275,0,0
646,11/20/2022,11,DET,NYG,Brad Rogers,31,325,45,5,1,-3,-3,13,-88,0,0
647,11/20/2022,11,CIN,PIT,Brad Allen,37,408,44,6,1,2,-2,7,57,0,0
648,11/20/2023,11,PHI,KC,Shawn Smith,21,238,61,7,1,-1,0,4,-98,0,0
649,11/21/2022,11,SF,ARI,Craig Wrolstad,38,387,30,3,1,-2,-2,28,73,0,0
650,11/23/2023,12,GB,DET,Carl Cheffers,29,377,60,7,1,-3,0,7,-87,0,0
651,11/23/2023,12,SF,SEA,Tra Blake,31,377,20,3,1,-1,-2,18,157,0,0
652,11/24/2022,12,BUF,DET,Clete Blakeman,28,401,36,5,1,-1,2,3,75,0,0
653,11/24/2023,12,MIA,NYJ,John Hussey,34,395,38,6,1,1,0,21,236,0,0
654,11/26/2023,12,LAR,ARI,Shawn Smith,37,457,23,5,1,1,0,23,165,0,0
655,11/26/2023,12,PIT,CIN,Brad Rogers,16,421,55,5,1,0,0,6,199,0,0
656,11/26/2023,12,JAX,HOU,Clay Martin,24,445,35,6,1,1,-1,3,93,0,0
657,11/26/2023,12,BAL,LAC,Alan Eck,20,361,42,5,1,-4,0,10,82,0,0
658,11/26/2023,12,KC,LV,Land Clark,31,360,40,4,1,0,4,14,2,0,0
659,11/27/2022,12,LAC,ARI,Ron Torbert,25,311,30,4,1,-2,1,1,-55,0,0
660,11/27/2022,12,LV,SEA,Brad Allen,40,576,50,7,1,0,5,6,204,0,0
661,11/27/2022,12,CIN,TEN,Carl Cheffers,20,374,80,9,1,0,1,4,30,0,0
662,11/27/2023,12,CHI,MIN,Alex Kemp,12,317,76,7,1,-2,3,2,75,0,0
663,11/28/2022,12,PIT,IND,Bill Vinovich,24,323,19,3,1,-2,1,7,33,0,0
664,11/3/2022,9,PHI,HOU,Craig Wrolstad,29,360,31,4,1,-1,0,12,57,0,0
665,11/5/2023,9,MIN,ATL,Shawn Smith,31,363,4,1,1,0,-7,3,-7,0,0
666,11/5/2023,9,IND,CAR,Bill Vinovich,27,198,25,5,1,-2,-5,14,-77,0,0
667,11/5/2023,9,WAS,NE,Adrian Hill,20,432,30,4,1,1,0,3,105,0,0
668,11/6/2022,9,SEA,ARI,Carl Cheffers,31,421,34,6,1,0,-6,10,159,0,0
669,11/6/2022,9,LAC,ATL,John Hussey,20,336,45,5,1,0,3,3,21,0,0
670,11/6/2022,9,MIA,CHI,Ron Torbert,35,379,38,3,1,0,-1,3,11,0,0
671,11/6/2022,9,MIN,WAS,Jerome Boger,20,301,42,5,1,0,2,3,38,0,0
672,11/6/2023,9,LAC,NYJ,Craig Wrolstad,27,191,39,4,1,-3,-4,21,-79,0,0
673,11/7/2022,9,BAL,NO,Brad Rogers,27,319,31,5,1,-1,0,14,76,0,0
674,12/1/2022,13,BUF,NE,Shawn Hochuli,24,355,47,6,1,1,0,14,113,0,0
675,12/10/2023,14,TB,ATL,Alex Kemp,29,290,26,4,1,-1,2,4,-144,0,0
676,12/10/2023,14,BUF,KC,Carl Cheffers,20,327,35,4,1,-1,-3,3,-19,0,0
677,12/10/2023,14,DEN,LAC,Clete Blakeman,24,322,26,4,1,-1,2,17,39,0,0
678,12/10/2023,14,MIN,LV,Craig Wrolstad,3,231,36,5,1,-3,1,3,29,0,0
679,12/11/2022,14,KC,DEN,Craig Wrolstad,34,431,70,4,1,1,-2,6,111,0,0
680,12/11/2022,14,PHI,NYG,Clete Blakeman,48,437,9,2,1,-1,-3,26,133,0,0
681,12/11/2022,14,BAL,PIT,Adrian Hill,16,309,46,5,1,-3,3,2,-20,0,0
682,12/11/2022,14,CAR,SEA,Bill Vinovich,30,328,29,6,1,-2,3,6,41,0,0
683,12/11/2022,14,JAX,TEN,Clay Martin,36,428,70,9,1,-4,4,14,64,0,0
684,12/11/2023,14,TEN,MIA,Adrian Hill,28,403,59,9,1,2,2,1,37,0,0
685,12/12/2022,14,NE,ARI,Shawn Smith,27,328,80,8,1,-1,0,14,5,0,0
686,12/15/2022,15,SF,SEA,Alex Kemp,21,381,60,7,1,-1,-1,8,104,0,0
687,12/17/2023,15,SF,ARI,Scott Novak,45,406,5,1,1,-2,-3,16,-30,0,0
